Sorszám;Munka;Neme;Életkor;Megvalósító vagy célkijelölő;Életciklus;Sorstípus;Sérult-e Nap;Sérült-e a Hold;Hyleg;Anaréta;1. ház jegye;2. ház jegye;3. ház jegye;4. ház jegye;5. ház jegye;6. ház jegye;7. ház jegye;8. ház jegye;9. ház jegye;10. ház jegye;11. ház jegye;12. ház jegye;nap jegye;hold jegye;merkúr jegye;vénusz jegye;mars jegye;jupiter jegye;szaturnusz jegye;uránusz jegye;neptun jegye;pluto jegye;1. ház urának háza;2. ház urának háza;3. ház urának háza;4. ház urának háza;5. ház urának háza;6. ház urának háza;7. ház urának háza;8. ház urának háza;9. ház urának háza;10. ház urának háza;11. ház urának háza;12. ház urának háza;nap háza;hold háza;merkúr háza;vénusz háza;mars háza;jupiter háza;szaturnusz háza;uránusz háza;neptun háza;pluto háza;nap <fényszög> hold;nap <fényszög> merkur;nap <fényszög> venusz;nap <fényszög> mars;nap <fényszög> jupiter;nap <fényszög> szaturnusz;nap <fényszög> uranusz;nap <fényszög> neptun;nap <fényszög> pluto;hold <fényszög> merkur;hold <fényszög> venusz;hold <fényszög> mars;hold <fényszög> jupiter;hold <fényszög> szaturnusz;hold <fényszög> uranusz;hold <fényszög> neptun;hold <fényszög> pluto;merkur <fényszög> venusz;merkur <fényszög> mars;merkur <fényszög> jupiter;merkur <fényszög> szaturnusz;merkur <fényszög> uranusz;merkur <fényszög> neptun;merkur <fényszög> pluto;venusz <fényszög> mars;venusz <fényszög> jupiter;venusz <fényszög> szaturnusz;venusz <fényszög> uranusz;venusz <fényszög> neptun;venusz <fényszög> pluto;mars <fényszög> jupiter;mars <fényszög> szaturnusz;mars <fényszög> uranusz;mars <fényszög> neptun;mars <fényszög> pluto;jupiter <fényszög> szaturnusz;jupiter <fényszög> uranusz;jupiter <fényszög> neptun;jupiter <fényszög> pluto;szaturnusz <fényszög> uranusz;szaturnusz <fényszög> neptun;szaturnusz <fényszög> pluto;uranusz <fényszög> neptun;uranusz <fényszög> pluto;neptun <fényszög> pluto
1;['informatikus', 'programozó'];férfi;20;célkijelölő;hold-mars;önfeláldozó vagy áldozat;- nap;a hold nem sérült;ASC;Nincs anaréta;bak;vízöntő;kos;bika;bika;ikrek;rák;oroszlán;mérleg;skorpió;skorpió;nyilas;oroszlán;szűz;szűz;rák;nyilas;rák;ikrek;vízöntő;vízöntő;nyilas;nincs hazur;6;12;7;7;8;8;8;nincs hazur;nincs hazur;nincs hazur;nincs hazur;8;8;8;7;12;7;6;2;1;12;konjukcio;-;-;trigon;-;-;oppozicio;-;-;konjukcio;-;-;-;-;-;-;-;-;-;-;kvadrat;-;-;kvadrat;-;-;-;-;-;-;-;oppozicio;-;-;-;-;-;-;-;-;trigon;oppozicio;-;-;-
2;[];nő;20;célkijelölő;hold-vénusz;kiszolgáltatott;+ nap;- hold;ASC;Nincs anaréta;bak;halak;kos;bika;ikrek;rák;rák;szűz;mérleg;skorpió;nyilas;bak;ikrek;nyilas;ikrek;bika;nyilas;ikrek;ikrek;vízöntő;vízöntő;nyilas;nincs hazur;5;nincs hazur;3;nincs hazur;12;12;6;nincs hazur;12;nincs hazur;nincs hazur;5;12;6;3;12;5;4;1;1;12;-;-;-;-;konjukcio;-;-;trigon;oppozicio;oppozicio;-;konjukcio;oppozicio;-;-;-;-;-;oppozicio;konjukcio;-;trigon;-;-;-;-;-;-;-;-;oppozicio;-;-;-;-;-;trigon;-;oppozicio;-;trigon;oppozicio;-;-;-
3;[];férfi;18;célkijelölő;hold-mars;önfeláldozó vagy áldozat;- nap;a hold nem sérült;hold;Nincs anaréta;mérleg;mérleg;skorpió;bak;vízöntő;halak;kos;kos;bika;rák;oroszlán;szűz;kos;kos;kos;ikrek;ikrek;szűz;rák;halak;vízöntő;nyilas;nincs hazur;nincs hazur;9;nincs hazur;10;12;nincs hazur;nincs hazur;9;7;8;8;8;7;8;9;9;12;10;6;5;3;-;konjukcio;-;-;-;-;-;-;trigon;konjukcio;-;-;-;-;-;-;trigon;-;-;-;-;-;-;trigon;konjukcio;kvadrat;-;kvadrat;trigon;-;-;-;-;trigon;oppozicio;-;oppozicio;-;-;trigon;-;-;-;-;-
4;['informatikus', 'programozó'];férfi;20;célkijelölő;hold-mars;önfeláldozó vagy áldozat;a nap nem sérült;a hold nem sérült;nap;asc (oppozíció);szűz;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;halak;halak;halak;kos;bika;rák;ikrek;vízöntő;vízöntő;nyilas;nincs hazur;8;9;nincs hazur;9;nincs hazur;10;nincs hazur;nincs hazur;6;7;7;7;7;6;8;9;10;9;6;5;4;konjukcio;-;-;-;-;-;-;-;kvadrat;-;-;-;-;-;-;-;kvadrat;-;-;trigon;kvadrat;konjukcio;-;-;-;kvadrat;-;-;-;-;-;-;-;kvadrat;-;-;-;-;-;-;trigon;-;-;-;-
5;['földműves', 'biztonsági őr'];férfi;50;megvalósitó;jupiter;önfeláldozó vagy áldozat;a nap nem sérült;+ hold;nap;hold (oppozíció);vízöntő;halak;bika;bika;ikrek;rák;oroszlán;szűz;skorpió;skorpió;nyilas;bak;szűz;halak;oroszlán;szűz;vízöntő;skorpió;ikrek;mérleg;nyilas;szűz;4;10;nincs hazur;nincs hazur;7;1;7;nincs hazur;nincs hazur;nincs hazur;nincs hazur;nincs hazur;7;1;7;7;1;10;4;8;10;8;oppozicio;-;konjukcio;-;-;kvadrat;-;-;-;-;oppozicio;-;-;-;-;-;-;-;-;kvadrat;-;-;kvadrat;-;-;-;-;-;-;-;-;trigon;-;-;-;oppozicio;-;konjukcio;-;trigon;oppozicio;trigon;-;-;-
6;[];férfi;22;célkijelölő;nap;kiszolgáltatott;- nap;+ hold;ASC;Nincs anaréta;nyilas;bak;vízöntő;kos;kos;bika;ikrek;rák;oroszlán;mérleg;mérleg;skorpió;oroszlán;kos;rák;szűz;skorpió;bika;bika;vízöntő;vízöntő;nyilas;nincs hazur;5;nincs hazur;nincs hazur;nincs hazur;9;nincs hazur;5;8;nincs hazur;nincs hazur;11;8;5;8;9;11;5;5;2;2;1;-;-;-;kvadrat;kvadrat;kvadrat;oppozicio;-;-;kvadrat;-;-;-;-;-;kvadrat;-;-;-;kvadrat;-;-;oppozicio;-;-;trigon;-;-;-;-;-;oppozicio;-;-;-;-;-;kvadrat;-;kvadrat;-;-;-;-;-
7;[];nő;0;célkijelölő;hold;kiszolgáltatott;+ nap;- hold;ASC;Nincs anaréta;rák;oroszlán;szűz;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;skorpió;vízöntő;skorpió;bak;skorpió;vízöntő;vízöntő;bika;halak;bak;8;5;nincs hazur;nincs hazur;nincs hazur;nincs hazur;nincs hazur;7;8;5;6;5;5;8;5;6;5;8;7;11;9;7;kvadrat;-;-;-;kvadrat;-;oppozicio;trigon;-;-;-;-;konjukcio;-;-;-;-;-;konjukcio;-;kvadrat;oppozicio;-;-;-;-;-;trigon;-;-;-;kvadrat;oppozicio;-;-;-;-;-;-;kvadrat;-;-;-;-;-
8;['vendéglátás'];nő;19;megvalósitó;hold-vénusz;önfeláldozó vagy áldozat;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;szűz;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;nyilas;mérleg;nyilas;skorpió;mérleg;oroszlán;ikrek;vízöntő;vízöntő;nyilas;3;2;2;11;10;nincs hazur;nincs hazur;nincs hazur;nincs hazur;nincs hazur;2;3;3;2;3;2;2;11;10;6;5;3;-;-;-;-;-;-;-;-;-;-;-;konjukcio;-;-;trigon;-;-;-;-;-;-;-;-;konjukcio;konjukcio;-;-;trigon;kvadrat;-;-;-;trigon;-;-;-;oppozicio;-;-;trigon;-;-;-;-;-
9;[];nő;24;megvalósító;hold;kiszolgáltatott;+ nap;a hold nem sérült;nap;szaturnusz (kvadrát);mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;rák;szűz;oroszlán;oroszlán;mérleg;vízöntő;kos;vízöntő;bak;nyilas;10;1;5;nincs hazur;7;nincs hazur;nincs hazur;nincs hazur;10;11;9;nincs hazur;9;11;10;10;1;5;7;4;4;2;-;-;-;-;-;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;oppozicio;oppozicio;-;-;oppozicio;trigon;oppozicio;-;-;-;-;trigon;-;-;-;-;-;-;-;-;-;-;-;-
10;['testnevelő', 'tanár'];férfi;52;célkijelölő;jupiter;önfeláldozó;a nap nem sérült;a hold nem sérült;nap;mars (oppozíció);oroszlán;szűz;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;ikrek;vízöntő;ikrek;kos;nyilas;szűz;bika;szűz;skorpió;szűz;11;nincs hazur;nincs hazur;nincs hazur;nincs hazur;nincs hazur;10;2;4;9;10;7;11;7;10;9;4;2;10;2;4;2;trigon;-;-;oppozicio;-;-;-;-;-;-;-;-;-;-;-;kvadrat;-;-;oppozicio;-;-;-;oppozicio;-;-;-;konjukcio;-;-;-;-;-;-;-;-;-;konjukcio;-;konjukcio;-;-;-;-;konjukcio;-
11;[];nő;19;célkijelölő;hold-vénusz;kiszolgáltatott;+ nap;a hold nem sérült;nap;Nincs anaréta;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;mérleg;skorpió;mérleg;nyilas;mérleg;skorpió;szűz;oroszlán;ikrek;vízöntő;vízöntő;nyilas;9;nincs hazur;7;nincs hazur;10;12;nincs hazur;1;11;10;nincs hazur;nincs hazur;11;1;10;12;10;9;7;3;2;1;-;-;-;-;-;-;-;-;-;-;-;-;-;oppozicio;-;-;-;-;konjukcio;-;kvadrat;-;-;-;-;kvadrat;-;-;-;-;-;kvadrat;-;-;-;-;-;oppozicio;-;trigon;-;-;-;-;-
12;['ételfutár', 'biztonsági őr', 'műcészeti festő'];nő;52;célkijelölő;jupiter;önfeláldozó vagy áldozat;a nap nem sérült;- hold;ASC;Nincs anaréta;vízöntő;kos;bika;ikrek;rák;rák;oroszlán;mérleg;skorpió;nyilas;bak;bak;bika;skorpió;bika;bika;ikrek;skorpió;bika;mérleg;nyilas;szűz;nincs hazur;3;nincs hazur;3;8;8;2;3;nincs hazur;8;2;2;2;8;3;3;3;8;2;7;9;7;oppozicio;-;-;-;oppozicio;-;-;-;-;-;-;-;konjukcio;oppozicio;-;-;-;konjukcio;-;-;-;-;-;trigon;-;-;-;-;oppozicio;trigon;-;-;trigon;oppozicio;trigon;-;-;-;-;-;-;-;-;-;-
13;[];férfi;20;megvalósitó;hold-mars;kiszolgáltatott;a nap nem sérült;+ hold;nap;hold (oppozíció);szűz;szűz;mérleg;skorpió;nyilas;vízöntő;halak;halak;kos;bika;ikrek;oroszlán;rák;bak;ikrek;bika;nyilas;ikrek;ikrek;vízöntő;vízöntő;nyilas;10;10;10;4;nincs hazur;10;11;11;nincs hazur;nincs hazur;nincs hazur;11;11;5;10;10;4;11;10;6;6;4;oppozicio;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;oppozicio;konjukcio;-;trigon;-;-;-;-;-;kvadrat;-;-;-;oppozicio;-;-;konjukcio;-;trigon;-;-;-;trigon;oppozicio;-;-;-
14;['informatikus'];nő;20;megvalósitó;hold-vénusz;önfeláldozó;a nap nem sérült;- hold;ASC;Nincs anaréta;szűz;mérleg;mérleg;nyilas;bak;vízöntő;halak;kos;kos;ikrek;rák;oroszlán;kos;oroszlán;halak;kos;bika;rák;ikrek;vízöntő;vízöntő;nyilas;7;8;8;nincs hazur;10;nincs hazur;11;nincs hazur;nincs hazur;nincs hazur;12;8;8;12;7;8;9;11;10;6;6;4;-;-;-;-;kvadrat;-;-;-;-;-;trigon;kvadrat;-;-;oppozicio;-;-;-;-;-;-;-;-;kvadrat;-;-;-;-;-;trigon;-;-;-;kvadrat;-;-;-;-;-;-;trigon;oppozicio;-;-;-
15;[];nő;20;célkijelölő;hold-vénusz;még nem tudjuk kiszámolni;a nap nem sérült;a hold nem sérült;hold;asc (oppozíció);nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;mérleg;skorpió;ikrek;ikrek;ikrek;bika;nyilas;ikrek;ikrek;vízöntő;vízöntő;nyilas;nincs hazur;7;nincs hazur;7;nincs hazur;6;nincs hazur;7;8;7;nincs hazur;1;8;7;7;6;1;7;7;3;2;1;-;konjukcio;-;oppozicio;konjukcio;-;trigon;-;-;-;-;-;-;konjukcio;-;trigon;-;-;oppozicio;konjukcio;-;trigon;-;-;-;-;-;-;kvadrat;-;oppozicio;-;-;-;konjukcio;-;trigon;-;-;-;trigon;oppozicio;-;-;-
16;['szülésznő'];nő;20;célkijelölő;hold-vénusz;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;ikrek;rák;oroszlán;oroszlán;mérleg;skorpió;nyilas;bak;vízöntő;vízöntő;kos;bika;skorpió;rák;mérleg;mérleg;vízöntő;rák;ikrek;vízöntő;vízöntő;nyilas;nincs hazur;2;6;6;nincs hazur;9;2;nincs hazur;1;1;nincs hazur;5;6;2;5;5;9;2;1;9;9;6;trigon;-;-;kvadrat;trigon;-;kvadrat;-;-;kvadrat;kvadrat;-;konjukcio;-;-;-;-;konjukcio;-;-;-;trigon;kvadrat;-;-;-;-;trigon;-;-;-;-;-;konjukcio;-;-;-;-;-;-;-;oppozicio;-;-;-
17;['testnevelő tanár'];férfi;21;célkijelölő;nap;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;mérleg;skorpió;halak;halak;vízöntő;kos;nyilas;ikrek;bika;vízöntő;vízöntő;nyilas;nincs hazur;nincs hazur;6;6;nincs hazur;nincs hazur;nincs hazur;3;3;2;4;1;3;3;2;4;1;6;6;3;2;1;konjukcio;-;-;kvadrat;kvadrat;-;-;-;-;-;-;kvadrat;kvadrat;kvadrat;-;-;-;-;-;-;-;konjukcio;-;-;-;-;-;-;-;trigon;oppozicio;-;-;-;-;konjukcio;-;trigon;-;kvadrat;-;-;-;-;-
18;['magasugró sportoló'];nő;20;megvalósitó;hold-vénusz;még nem tudjuk kiszámolni;+ nap;a hold nem sérült;ASC;Nincs anaréta;kos;ikrek;ikrek;rák;oroszlán;szűz;mérleg;nyilas;nyilas;bak;vízöntő;halak;kos;kos;kos;bika;bika;rák;ikrek;vízöntő;vízöntő;nyilas;nincs hazur;nincs hazur;nincs hazur;1;1;1;nincs hazur;nincs hazur;nincs hazur;nincs hazur;2;3;1;1;1;1;2;3;2;11;11;8;konjukcio;konjukcio;-;-;-;-;-;-;-;-;-;-;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;oppozicio;-;-;-
19;[];férfi;20;célkijelölő;hold-mars;kiszolgáltatott;a nap nem sérült;+ hold;ASC;Nincs anaréta;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;mérleg;skorpió;halak;mérleg;mérleg;vízöntő;rák;ikrek;vízöntő;vízöntő;nyilas;3;nincs hazur;nincs hazur;8;9;nincs hazur;12;nincs hazur;5;1;12;nincs hazur;1;5;12;12;3;9;8;4;3;2;-;-;-;kvadrat;-;-;-;kvadrat;-;-;-;-;trigon;kvadrat;-;-;kvadrat;konjukcio;-;kvadrat;trigon;-;-;-;-;kvadrat;trigon;-;-;-;-;-;-;konjukcio;-;-;-;-;-;trigon;-;oppozicio;-;-;-
20;['villanyszerelő'];férfi;44;célkijelölő;nap-mars;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;nyilas;bak;vízöntő;kos;kos;bika;ikrek;rák;oroszlán;mérleg;mérleg;skorpió;bika;oroszlán;kos;ikrek;oroszlán;rák;oroszlán;skorpió;nyilas;mérleg;nincs hazur;nincs hazur;9;nincs hazur;nincs hazur;nincs hazur;5;8;6;7;7;8;6;8;5;7;8;7;9;11;1;10;-;-;-;-;-;kvadrat;-;-;-;-;-;konjukcio;-;-;kvadrat;-;-;-;-;-;trigon;-;-;-;-;-;-;-;oppozicio;trigon;-;-;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-
21;['tanár'];nő;46;célkijelölő;nap-mars;független vagy kiszolgáltatott;a nap nem sérült;- hold;ASC;Nincs anaréta;mérleg;skorpió;nyilas;vízöntő;halak;kos;kos;bika;ikrek;oroszlán;szűz;mérleg;kos;ikrek;kos;halak;rák;bika;rák;skorpió;nyilas;mérleg;nincs hazur;9;nincs hazur;9;7;nincs hazur;nincs hazur;5;nincs hazur;6;6;nincs hazur;6;8;6;5;9;7;9;1;2;1;-;konjukcio;-;kvadrat;-;-;-;trigon;oppozicio;-;-;-;-;-;-;oppozicio;-;-;-;-;kvadrat;-;trigon;-;-;-;trigon;-;-;-;-;-;-;-;-;kvadrat;oppozicio;-;-;-;-;-;-;-;-
22;['műszaki szerelő'];férfi;78;célkijelölő;szaturnusz;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;bak;halak;bika;bika;ikrek;rák;rák;szűz;skorpió;skorpió;nyilas;bak;kos;halak;kos;halak;ikrek;oroszlán;ikrek;ikrek;mérleg;oroszlán;5;nincs hazur;1;1;nincs hazur;2;2;2;5;5;7;5;2;2;2;1;5;7;5;4;8;7;konjukcio;konjukcio;-;kvadrat;-;-;-;oppozicio;trigon;-;-;kvadrat;-;kvadrat;-;oppozicio;-;-;-;-;-;-;oppozicio;trigon;-;-;-;kvadrat;-;-;-;konjukcio;-;kvadrat;-;-;-;-;-;-;-;-;trigon;-;-
23;[];nő;20;célkijelölő;hold-vénusz;önfeláldozó;+ nap;- hold;nap;uránusz (kvadrát);oroszlán;szűz;mérleg;skorpió;nyilas;vízöntő;vízöntő;halak;kos;bika;ikrek;oroszlán;bika;rák;ikrek;ikrek;ikrek;rák;ikrek;vízöntő;vízöntő;nyilas;10;10;nincs hazur;10;nincs hazur;nincs hazur;nincs hazur;12;nincs hazur;12;nincs hazur;10;10;12;10;12;10;12;10;7;6;4;-;-;-;-;-;-;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-;-;konjukcio;-;trigon;oppozicio;konjukcio;-;-;trigon;-;-;-;konjukcio;trigon;-;oppozicio;-;-;-;-;-;trigon;oppozicio;-;-;-
24;[];nő;47;célkijelölő;nap-mars;önfeláldozó vagy áldozat;+ nap;a hold nem sérült;nap;Nincs anaréta;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;szűz;mérleg;mérleg;bika;skorpió;mérleg;mérleg;halak;rák;mérleg;nyilas;mérleg;nincs hazur;nincs hazur;9;nincs hazur;4;11;11;nincs hazur;6;11;1;nincs hazur;11;6;1;11;11;4;9;12;1;11;-;-;-;konjukcio;-;-;-;-;konjukcio;oppozicio;-;-;-;-;oppozicio;-;-;-;-;trigon;-;-;-;-;-;-;-;-;-;konjukcio;-;kvadrat;-;-;konjukcio;-;-;kvadrat;-;-;-;-;-;-;-
25;['cég felszámolás'];nő;63;megvalósító;szaturnusz;önfeláldozó vagy áldozat;a nap nem sérült;a hold nem sérült;hold;neptun (kvadrát);bak;vízöntő;kos;bika;bika;ikrek;rák;oroszlán;mérleg;skorpió;skorpió;nyilas;halak;oroszlán;kos;bika;ikrek;nyilas;bak;oroszlán;skorpió;szűz;nincs hazur;1;6;3;3;3;7;2;nincs hazur;nincs hazur;nincs hazur;11;2;7;3;3;6;11;1;7;10;8;-;-;-;-;-;kvadrat;-;-;-;trigon;-;-;trigon;-;konjukcio;kvadrat;-;-;-;-;kvadrat;trigon;-;-;-;-;trigon;-;oppozicio;trigon;-;-;-;-;-;-;-;-;kvadrat;-;-;-;kvadrat;-;-
26;['gyári segédmunkás'];nő;19;célkijelölő;hold-vénusz;önfeláldozó vagy áldozat;a nap nem sérült;- hold;nap;asc (oppozíció);szűz;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;halak;kos;halak;vízöntő;bak;oroszlán;ikrek;vízöntő;vízöntő;nyilas;nincs hazur;nincs hazur;4;11;nincs hazur;10;nincs hazur;nincs hazur;5;6;8;7;7;8;6;5;4;11;10;6;5;4;-;-;-;-;-;kvadrat;-;-;kvadrat;-;-;trigon;-;-;-;-;trigon;-;-;-;-;konjukcio;-;-;-;oppozicio;-;-;konjukcio;-;-;-;-;-;-;-;-;oppozicio;-;trigon;-;oppozicio;-;-;-
27;['állatorvos'];férfi;20;megvalósitó;hold-mars;független vagy kiszolgáltatott;a nap nem sérült;a hold nem sérült;nap;asc (oppozíció);rák;rák;oroszlán;szűz;mérleg;nyilas;bak;bak;vízöntő;halak;kos;ikrek;bak;oroszlán;bak;bak;halak;rák;ikrek;vízöntő;vízöntő;nyilas;3;3;7;8;7;1;nincs hazur;nincs hazur;12;nincs hazur;10;nincs hazur;7;3;8;7;10;1;12;9;8;6;-;-;konjukcio;-;oppozicio;-;-;-;-;-;-;-;-;-;oppozicio;-;-;-;-;-;-;-;-;-;-;oppozicio;-;-;-;-;-;-;-;-;kvadrat;-;-;-;-;-;trigon;oppozicio;-;-;-
28;['óvónő', 'történelem tanár', 'gyógytornász'];nő;20;megvalósitó;hold-vénusz;független vagy kiszolgáltatott;+ nap;a hold nem sérült;nap;Nincs anaréta;rák;rák;oroszlán;szűz;mérleg;skorpió;bak;bak;vízöntő;halak;kos;bika;kos;rák;bika;bika;ikrek;rák;ikrek;vízöntő;vízöntő;nyilas;1;1;11;11;nincs hazur;nincs hazur;nincs hazur;nincs hazur;12;nincs hazur;12;11;11;1;11;11;12;1;12;9;8;6;-;-;-;-;-;-;-;-;-;-;-;-;konjukcio;-;-;-;-;-;-;-;-;-;kvadrat;-;-;-;-;kvadrat;-;-;-;-;kvadrat;trigon;-;-;-;-;-;-;trigon;oppozicio;-;-;-
29;['festő', 'porcelánfestő'];nő;77;megvalósitó;szaturnusz;önfeláldozó;+ nap;a hold nem sérült;hold;Nincs anaréta;vízöntő;kos;bika;ikrek;rák;rák;oroszlán;mérleg;skorpió;nyilas;bak;bak;halak;skorpió;halak;kos;vízöntő;szűz;rák;ikrek;mérleg;oroszlán;nincs hazur;1;nincs hazur;1;9;9;1;2;nincs hazur;nincs hazur;5;5;1;9;1;2;1;7;5;4;7;6;-;konjukcio;-;-;-;-;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-;oppozicio;-;-;-;-;-;-;-;-;-;-;-;-;trigon;-;oppozicio;-;-;-;-;-;kvadrat;-;trigon;-;-
30;[];férfi;20;célkijelölő;hold-mars;önfeláldozó vagy áldozat;a nap nem sérült;+ hold;hold;neptun (kvadrát);szűz;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;mérleg;bika;mérleg;szűz;bak;rák;ikrek;vízöntő;vízöntő;nyilas;nincs hazur;1;4;nincs hazur;10;nincs hazur;10;nincs hazur;nincs hazur;2;9;2;2;9;2;1;4;10;10;6;5;4;-;-;-;kvadrat;-;-;-;trigon;-;-;-;trigon;-;-;-;kvadrat;-;-;-;-;-;trigon;kvadrat;-;trigon;-;-;-;-;kvadrat;oppozicio;-;-;-;-;-;-;-;-;trigon;-;oppozicio;-;-;-
31;[];nő;44;megvalósító;nap-mars;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;skorpió;nyilas;vízöntő;halak;kos;bika;bika;ikrek;oroszlán;szűz;mérleg;skorpió;nyilas;kos;bak;nyilas;oroszlán;rák;szűz;skorpió;nyilas;mérleg;nincs hazur;nincs hazur;nincs hazur;8;9;nincs hazur;nincs hazur;2;2;nincs hazur;1;nincs hazur;2;5;2;1;9;8;9;1;1;12;trigon;konjukcio;konjukcio;-;oppozicio;-;-;-;-;trigon;-;-;-;trigon;-;-;-;-;-;oppozicio;-;-;-;-;-;-;-;-;konjukcio;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
32;['turizmus'];férfi;18;megvalósitó;hold-mars;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;oroszlán;szűz;mérleg;skorpió;nyilas;vízöntő;vízöntő;halak;kos;bika;ikrek;oroszlán;bak;rák;nyilas;vízöntő;kos;szűz;rák;halak;vízöntő;nyilas;5;5;6;nincs hazur;nincs hazur;12;12;2;8;nincs hazur;nincs hazur;5;5;12;5;6;8;2;12;7;6;4;-;-;-;kvadrat;trigon;oppozicio;-;-;-;-;-;kvadrat;-;konjukcio;trigon;-;-;-;-;kvadrat;-;-;-;konjukcio;-;-;-;-;-;-;-;kvadrat;-;-;-;-;-;-;kvadrat;-;-;-;-;-;-
33;['informatikus'];férfi;23;célkijelölő;nap;kiszolgáltatott;a nap nem sérült;+ hold;nap;pluto (oppozíció);skorpió;nyilas;vízöntő;halak;kos;bika;bika;ikrek;oroszlán;szűz;mérleg;skorpió;ikrek;szűz;bika;rák;mérleg;kos;bika;vízöntő;vízöntő;nyilas;nincs hazur;5;nincs hazur;nincs hazur;12;8;8;7;7;nincs hazur;nincs hazur;nincs hazur;7;10;7;8;12;5;6;3;3;1;-;konjukcio;-;-;-;-;-;trigon;oppozicio;-;-;-;-;-;-;-;-;-;-;-;-;-;trigon;-;-;kvadrat;-;-;-;-;oppozicio;-;-;-;-;-;-;-;-;kvadrat;kvadrat;-;-;-;-
34;['gépész'];férfi;21;megvalósító;nap;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;bak;halak;kos;bika;ikrek;rák;rák;szűz;mérleg;skorpió;nyilas;bak;rák;bika;rák;rák;rák;bika;bika;vízöntő;vízöntő;nyilas;nincs hazur;nincs hazur;6;nincs hazur;6;4;4;nincs hazur;6;nincs hazur;4;nincs hazur;6;4;6;6;6;4;4;1;1;12;-;-;konjukcio;konjukcio;-;-;-;-;-;-;-;-;konjukcio;konjukcio;kvadrat;-;-;konjukcio;-;-;-;-;-;-;konjukcio;-;-;-;-;-;-;-;-;-;-;konjukcio;-;trigon;-;kvadrat;-;-;-;-;-
35;[];férfi;19;megvalósitó;hold-mars;kiszolgáltatott;a nap nem sérült;a hold nem sérült;nap;Nincs anaréta;kos;ikrek;ikrek;rák;oroszlán;szűz;mérleg;nyilas;nyilas;bak;vízöntő;halak;vízöntő;rák;vízöntő;bak;nyilas;oroszlán;ikrek;vízöntő;vízöntő;nyilas;nincs hazur;11;11;3;11;nincs hazur;10;5;5;nincs hazur;3;nincs hazur;11;3;11;10;8;5;3;11;11;9;-;-;-;-;-;-;konjukcio;-;-;-;oppozicio;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;trigon;oppozicio;-;-;konjukcio;-;-;oppozicio;trigon;-;-;oppozicio;-;-;-
36;[];nő;16;célkijelölő;hold-vénusz;kiszolgáltatott;+ nap;a hold nem sérült;nap;Nincs anaréta;bak;vízöntő;halak;bika;bika;ikrek;rák;oroszlán;szűz;skorpió;skorpió;nyilas;skorpió;rák;nyilas;bak;bika;skorpió;oroszlán;halak;vízöntő;nyilas;nincs hazur;8;nincs hazur;1;1;11;7;11;nincs hazur;4;4;10;11;7;11;1;4;10;8;2;2;12;-;-;-;-;-;-;-;-;-;-;oppozicio;-;trigon;-;trigon;-;-;-;-;-;trigon;-;-;-;trigon;-;-;-;-;-;oppozicio;kvadrat;-;kvadrat;-;kvadrat;-;-;-;-;oppozicio;-;-;-;-
