Sorszám;Munka;Neme;Életkor;Életciklus;Sorstípus;Sérult-e Nap;Sérült-e a Hold;Hyleg;Anaréta;1. ház jegye;2. ház jegye;3. ház jegye;4. ház jegye;5. ház jegye;6. ház jegye;7. ház jegye;8. ház jegye;9. ház jegye;10. ház jegye;11. ház jegye;12. ház jegye;nap jegye;hold jegye;merkúr jegye;vénusz jegye;mars jegye;jupiter jegye;szaturnusz jegye;uránusz jegye;neptun jegye;pluto jegye;1. ház urának háza;2. ház urának háza;3. ház urának háza;4. ház urának háza;5. ház urának háza;6. ház urának háza;7. ház urának háza;8. ház urának háza;9. ház urának háza;10. ház urának háza;11. ház urának háza;12. ház urának háza;nap háza;hold háza;merkúr háza;vénusz háza;mars háza;jupiter háza;szaturnusz háza;uránusz háza;neptun háza;pluto háza;nap <fényszög> hold;nap <fényszög> merkur;nap <fényszög> venusz;nap <fényszög> mars;nap <fényszög> jupiter;nap <fényszög> szaturnusz;nap <fényszög> uranusz;nap <fényszög> neptun;nap <fényszög> pluto;hold <fényszög> merkur;hold <fényszög> venusz;hold <fényszög> mars;hold <fényszög> jupiter;hold <fényszög> szaturnusz;hold <fényszög> uranusz;hold <fényszög> neptun;hold <fényszög> pluto;merkur <fényszög> venusz;merkur <fényszög> mars;merkur <fényszög> jupiter;merkur <fényszög> szaturnusz;merkur <fényszög> uranusz;merkur <fényszög> neptun;merkur <fényszög> pluto;venusz <fényszög> mars;venusz <fényszög> jupiter;venusz <fényszög> szaturnusz;venusz <fényszög> uranusz;venusz <fényszög> neptun;venusz <fényszög> pluto;mars <fényszög> jupiter;mars <fényszög> szaturnusz;mars <fényszög> uranusz;mars <fényszög> neptun;mars <fényszög> pluto;jupiter <fényszög> szaturnusz;jupiter <fényszög> uranusz;jupiter <fényszög> neptun;jupiter <fényszög> pluto;szaturnusz <fényszög> uranusz;szaturnusz <fényszög> neptun;szaturnusz <fényszög> pluto;uranusz <fényszög> neptun;uranusz <fényszög> pluto;neptun <fényszög> pluto
28;['állatorvos'];férfi;20;hold-mars;független vagy kiszolgáltatott;a nap nem sérült;a hold nem sérült;nap;asc (oppozíció);rák;rák;oroszlán;szűz;mérleg;nyilas;bak;bak;vízöntő;halak;kos;ikrek;bak;oroszlán;bak;bak;halak;rák;ikrek;vízöntő;vízöntő;nyilas;3;3;7;8;7;1;nincs hazur;nincs hazur;12;nincs hazur;10;nincs hazur;7;3;8;7;10;1;12;9;8;6;-;-;konjukcio;-;oppozicio;-;-;-;-;-;-;-;-;-;oppozicio;-;-;-;-;-;-;-;-;-;-;oppozicio;-;-;-;-;-;-;-;-;kvadrat;-;-;-;-;-;trigon;oppozicio;-;-;-
29;['óvónő'];nő;20;hold-vénusz;független vagy kiszolgáltatott;+ nap;a hold nem sérült;nap;Nincs anaréta;rák;rák;oroszlán;szűz;mérleg;skorpió;bak;bak;vízöntő;halak;kos;bika;kos;rák;bika;bika;ikrek;rák;ikrek;vízöntő;vízöntő;nyilas;1;1;11;11;nincs hazur;nincs hazur;nincs hazur;nincs hazur;12;nincs hazur;12;11;11;1;11;11;12;1;12;9;8;6;-;-;-;-;-;-;-;-;-;-;-;-;konjukcio;-;-;-;-;-;-;-;-;-;kvadrat;-;-;-;-;kvadrat;-;-;-;-;kvadrat;trigon;-;-;-;-;-;-;trigon;oppozicio;-;-;-
30;['festő', 'porcelánfestő'];nő;77;szaturnusz;önfeláldozó;+ nap;a hold nem sérült;hold;Nincs anaréta;vízöntő;kos;bika;ikrek;rák;rák;oroszlán;mérleg;skorpió;nyilas;bak;bak;halak;skorpió;halak;kos;vízöntő;szűz;rák;ikrek;mérleg;oroszlán;nincs hazur;1;nincs hazur;1;9;9;1;2;nincs hazur;nincs hazur;5;5;1;9;1;2;1;7;5;4;7;6;-;konjukcio;-;-;-;-;kvadrat;-;-;-;-;-;-;-;-;-;-;-;-;oppozicio;-;-;-;-;-;-;-;-;-;-;-;-;trigon;-;oppozicio;-;-;-;-;-;kvadrat;-;trigon;-;-
31;['informatikus'];férfi;20;hold-mars;önfeláldozó vagy áldozat;a nap nem sérült;+ hold;hold;neptun (kvadrát);szűz;mérleg;skorpió;nyilas;bak;vízöntő;halak;kos;bika;ikrek;rák;oroszlán;mérleg;bika;mérleg;szűz;bak;rák;ikrek;vízöntő;vízöntő;nyilas;nincs hazur;1;4;nincs hazur;10;nincs hazur;10;nincs hazur;nincs hazur;2;9;2;2;9;2;1;4;10;10;6;5;4;-;-;-;kvadrat;-;-;-;trigon;-;-;-;trigon;-;-;-;kvadrat;-;-;-;-;-;trigon;kvadrat;-;trigon;-;-;-;-;kvadrat;oppozicio;-;-;-;-;-;-;-;-;trigon;-;oppozicio;-;-;-
32;[];nő;44;nap-mars;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;skorpió;nyilas;vízöntő;halak;kos;bika;bika;ikrek;oroszlán;szűz;mérleg;skorpió;nyilas;kos;bak;nyilas;oroszlán;rák;szűz;skorpió;nyilas;mérleg;nincs hazur;nincs hazur;nincs hazur;8;9;nincs hazur;nincs hazur;2;2;nincs hazur;1;nincs hazur;2;5;2;1;9;8;9;1;1;12;trigon;konjukcio;konjukcio;-;oppozicio;-;-;-;-;trigon;-;-;-;trigon;-;-;-;-;-;oppozicio;-;-;-;-;-;-;-;-;konjukcio;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
33;['turizmus'];férfi;18;hold-mars;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;oroszlán;szűz;mérleg;skorpió;nyilas;vízöntő;vízöntő;halak;kos;bika;ikrek;oroszlán;bak;rák;nyilas;vízöntő;kos;szűz;rák;halak;vízöntő;nyilas;5;5;6;nincs hazur;nincs hazur;12;12;2;8;nincs hazur;nincs hazur;5;5;12;5;6;8;2;12;7;6;4;-;-;-;kvadrat;trigon;oppozicio;-;-;-;-;-;kvadrat;-;konjukcio;trigon;-;-;-;-;kvadrat;-;-;-;konjukcio;-;-;-;-;-;-;-;kvadrat;-;-;-;-;-;-;kvadrat;-;-;-;-;-;-
34;['informatikus'];férfi;22;nap;kiszolgáltatott;a nap nem sérült;+ hold;nap;pluto (oppozíció);skorpió;nyilas;vízöntő;halak;kos;bika;bika;ikrek;oroszlán;szűz;mérleg;skorpió;ikrek;szűz;bika;rák;mérleg;kos;bika;vízöntő;vízöntő;nyilas;nincs hazur;5;nincs hazur;nincs hazur;12;8;8;7;7;nincs hazur;nincs hazur;nincs hazur;7;10;7;8;12;5;6;3;3;1;-;konjukcio;-;-;-;-;-;trigon;oppozicio;-;-;-;-;-;-;-;-;-;-;-;-;-;trigon;-;-;kvadrat;-;-;-;-;oppozicio;-;-;-;-;-;-;-;-;kvadrat;kvadrat;-;-;-;-
35;['gépész'];férfi;21;nap;önfeláldozó;a nap nem sérült;a hold nem sérült;ASC;Nincs anaréta;bak;halak;kos;bika;ikrek;rák;rák;szűz;mérleg;skorpió;nyilas;bak;rák;bika;rák;rák;rák;bika;bika;vízöntő;vízöntő;nyilas;nincs hazur;nincs hazur;6;nincs hazur;6;4;4;nincs hazur;6;nincs hazur;4;nincs hazur;6;4;6;6;6;4;4;1;1;12;-;-;konjukcio;konjukcio;-;-;-;-;-;-;-;-;konjukcio;konjukcio;kvadrat;-;-;konjukcio;-;-;-;-;-;-;konjukcio;-;-;-;-;-;-;-;-;-;-;konjukcio;-;trigon;-;kvadrat;-;-;-;-;-
36;[];férfi;19;hold-mars;kiszolgáltatott;a nap nem sérült;a hold nem sérült;nap;Nincs anaréta;kos;ikrek;ikrek;rák;oroszlán;szűz;mérleg;nyilas;nyilas;bak;vízöntő;halak;vízöntő;rák;vízöntő;bak;nyilas;oroszlán;ikrek;vízöntő;vízöntő;nyilas;nincs hazur;11;11;3;11;nincs hazur;10;5;5;nincs hazur;3;nincs hazur;11;3;11;10;8;5;3;11;11;9;-;-;-;-;-;-;konjukcio;-;-;-;oppozicio;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;trigon;oppozicio;-;-;konjukcio;-;-;oppozicio;trigon;-;-;oppozicio;-;-;-
37;[];nő;16;hold-vénusz;kiszolgáltatott;+ nap;a hold nem sérült;nap;Nincs anaréta;bak;vízöntő;halak;bika;bika;ikrek;rák;oroszlán;szűz;skorpió;skorpió;nyilas;skorpió;rák;nyilas;bak;bika;skorpió;oroszlán;halak;vízöntő;nyilas;nincs hazur;8;nincs hazur;1;1;11;7;11;nincs hazur;4;4;10;11;7;11;1;4;10;8;2;2;12;-;-;-;-;-;-;-;-;-;-;oppozicio;-;trigon;-;trigon;-;-;-;-;-;trigon;-;-;-;trigon;-;-;-;-;-;oppozicio;kvadrat;-;kvadrat;-;kvadrat;-;-;-;-;oppozicio;-;-;-;-
